episode,timestep,reward
95,2000,20.9158
180,4000,23.2824
245,6000,31.2462
323,8000,25.359
377,10000,35.2593
428,12000,39.7843
458,14000,69.0
491,16000,57.9697
509,18000,113.1667
525,20000,122.75
536,22000,182.3636
548,24000,174.1667
556,26000,248.375
565,28000,218.6667
574,30000,213.5556
583,32000,212.4444
591,34000,244.5
600,36000,235.5556
606,38000,309.3333
613,40000,291.5714
620,42000,300.0
626,44000,326.8333
632,46000,335.6667
640,48000,268.875
645,50000,397.0
651,52000,318.3333
657,54000,332.1667
664,56000,295.1429
668,58000,474.75
673,60000,416.6
677,62000,500.0
681,64000,450.75
685,66000,500.0
690,68000,407.2
694,70000,463.5
699,72000,430.2
703,74000,451.75
707,76000,500.0
712,78000,454.2
716,80000,466.5
721,82000,429.2
725,84000,500.0
731,86000,331.0
737,88000,361.1667
741,90000,488.25
745,92000,482.0
749,94000,500.0
753,96000,500.0
757,98000,446.75
762,100000,458.6
766,102000,492.5
771,104000,365.6
775,106000,500.0
779,108000,498.5
783,110000,498.25
787,112000,480.5
791,114000,500.0
795,116000,500.0
799,118000,500.0
803,120000,500.0
808,122000,435.8
812,124000,431.25
816,126000,500.0
820,128000,500.0
824,130000,500.0
828,132000,500.0
836,134000,253.25
841,136000,427.4
846,138000,417.2
