episode,timestep,reward
124,2000,18.2233
240,4000,18.4636
353,6000,19.5093
460,8000,19.629
555,10000,20.8197
652,12000,21.251
725,14000,25.5283
798,16000,26.2436
861,18000,29.9333
916,20000,30.8174
961,22000,38.1808
1011,24000,34.4167
1046,26000,44.2655
1083,28000,43.2218
1118,30000,47.225
1150,32000,49.4488
1182,34000,47.9712
1213,36000,51.2324
1239,38000,56.218
1269,40000,55.4744
1294,42000,58.4215
1315,44000,68.6572
1338,46000,64.1951
1366,48000,57.2481
1392,50000,58.5598
1409,52000,82.1584
1433,54000,57.4225
1457,56000,58.8411
1483,58000,60.8553
